Wall time,Step,Value
1584148428.850463,0,0.6518211960792542
1584148851.992471,1,0.6538079380989075
1584149262.996149,2,0.6576159000396729
1584149641.846315,3,0.6569536328315735
1584150187.9323268,4,0.6534768342971802
1584150685.5165,5,0.6557946801185608
1584151313.122153,6,0.6539735198020935
1584151873.971381,7,0.6529801487922668
1584152525.270954,8,0.6594370603561401
1584152936.5215092,9,0.6587748527526855
1584153350.3013859,10,0.6574503183364868
1584153706.719296,11,0.6562913656234741
1584154109.987249,12,0.6614238619804382
1584154559.2029178,13,0.6609271764755249
1584154969.530275,14,0.6579470038414001
1584155392.75038,15,0.6610926985740662
1584155832.7130082,16,0.6604304909706116
1584156238.483437,17,0.6619205474853516
1584156642.8650901,18,0.6589403748512268
1584157045.3515892,19,0.6620860695838928
1584157489.6491442,20,0.6600993275642395
1584157983.489387,21,0.6622516512870789
1584158397.572778,22,0.6552979946136475
1584158819.3648698,23,0.6622516512870789
1584159360.170093,24,0.6612582802772522
1584159911.637679,25,0.6591059565544128
1584160375.595396,26,0.6591059565544128
1584160795.175971,27,0.6609271764755249
1584161183.514544,28,0.6599337458610535
1584161570.871944,29,0.6612582802772522
1584161990.095211,30,0.6579470038414001
1584162400.7376509,31,0.6571192145347595
1584162819.118437,32,0.6624172329902649
1584163282.396051,33,0.6592715382575989
1584163808.171597,34,0.6596026420593262
1584164399.268639,35,0.6582781672477722
1584164916.4148748,36,0.6589403748512268
1584165349.3029718,37,0.6615893840789795
1584165686.754994,38,0.6599337458610535
1584166023.95535,39,0.6612582802772522
1584166362.5436559,40,0.6617549657821655
1584166701.952236,41,0.6591059565544128
1584167039.147097,42,0.6604304909706116
1584167376.479692,43,0.6625827550888062
1584167727.694558,44,0.6605960130691528
1584168065.731044,45,0.6612582802772522
1584168403.716224,46,0.6592715382575989
1584168740.115818,47,0.6582781672477722
1584169076.633187,48,0.6587748527526855
