Wall time,Step,Value
1581568122.72453,42,0.004999800585210323
1581568122.806601,45,0.004978917073458433
1581568123.354262,71,0.004845131654292345
1581568123.85024,94,0.004745062440633774
1581568125.212407,158,0.004408375825732946
1581568125.4167411,167,0.00435360474511981
1581568126.879263,229,0.0039953384548425674
1581568126.9939241,234,0.003970385529100895
1581568127.476224,255,0.0038647276815027
1581568127.87985,273,0.0037774008233100176
1581568128.704582,308,0.0036232969723641872
1581568128.75386,310,0.003614775137975812
1581568128.935112,318,0.0035814670845866203
1581568131.309747,421,0.003195032011717558
1581568132.535285,460,0.003082468407228589
1581568133.302725,474,0.003039619419723749
1581568134.797311,536,0.0028800610452890396
1581568135.844241,579,0.0027780707459896803
1581568136.021106,586,0.0027632846031337976
1581568137.508756,634,0.002670238260179758
1581568137.8779578,647,0.0026445691473782063
1581568138.5259142,671,0.0025932949502021074
1581568139.71471,714,0.0025172322057187557
1581568139.9359128,722,0.0025046723894774914
1581568141.68094,771,0.00243430701084435
1581568141.988254,785,0.0024181900080293417
1581568142.363807,802,0.002404477447271347
1581568142.503358,808,0.0023987512104213238
1581568143.095314,836,0.0023623527958989143
1581568145.643637,945,0.002256489358842373
1581568146.185434,971,0.002237866632640362
1581568147.082614,1014,0.002202835166826844
1581568148.1079302,1066,0.0021627796813845634
1581568148.88735,1104,0.002131823683157563
1581568150.4176798,1180,0.002081718761473894
1581568152.2692358,1261,0.002024092013016343
1581568153.8237052,1316,0.0019840223249047995
1581568153.930346,1319,0.001982470043003559
1581568154.28753,1333,0.0019750914070755243
1581568154.378068,1337,0.001973700011149049
1581568155.315663,1385,0.0019372340757399797
1581568155.454436,1392,0.0019349692156538367
1581568156.347332,1436,0.00190392741933465
1581568157.755593,1466,0.0018922083545476198
1581568159.209505,1523,0.0018700863001868129
1581568160.1220639,1552,0.0018621246563270688
1581568160.703904,1568,0.0018559275195002556
1581568161.226927,1584,0.0018516492564231157
1581568163.052006,1640,0.001833242131397128
1581568164.341449,1691,0.0018080208683386445
1581568164.786106,1709,0.0018020113930106163
1581568164.979676,1718,0.001799997640773654
1581568165.331834,1734,0.0017897002398967743
1581568165.4055722,1737,0.0017878774087876081
1581568166.406247,1781,0.0017699402524158359
1581568167.8066292,1844,0.0017494353232905269
1581568168.345152,1866,0.0017424062825739384
1581568168.411019,1869,0.0017415876500308514
1581568168.582322,1877,0.0017392111476510763
1581568169.547436,1917,0.0017281111795455217
1581568169.9337258,1934,0.001718976185657084
1581568170.2212129,1947,0.0017134303925558925
1581568172.020273,2036,0.0016885533696040511
1581568173.259399,2096,0.0016706782625988126
1581568175.05391,2187,0.0016454762080684304
1581568175.737528,2199,0.0016409424133598804
1581568176.373465,2231,0.0016379631124436855
1581568176.48977,2237,0.0016345750773325562
1581568176.897829,2257,0.0016277971444651484
1581568176.9944801,2262,0.0016276538372039795
1581568177.881217,2307,0.00161720288451761
1581568178.114872,2319,0.0016134908655658364
1581568178.8156438,2354,0.0016045558732002974
1581568179.5026188,2389,0.0016011203406378627
1581568179.521873,2390,0.0016010324470698833
1581568180.4253209,2436,0.001592964050360024
1581568180.762485,2453,0.0015907823108136654
1581568180.8042629,2455,0.0015906852204352617
1581568180.90259,2460,0.0015908291097730398
1581568181.391993,2485,0.0015867967158555984
1581568181.4118688,2486,0.0015865102177485824
1581568181.644553,2498,0.0015853832010179758
1581568181.7537699,2503,0.0015839248662814498
1581568182.324321,2532,0.0015768181765452027
1581568182.618618,2547,0.0015725375851616263
1581568182.734289,2553,0.0015699613140895963
1581568185.447556,2685,0.0015485030598938465
1581568187.039585,2740,0.0015462192241102457
1581568188.2734458,2789,0.0015380547847598791
1581568190.608455,2896,0.0015129834646359086
1581568193.060821,2967,0.0015008281916379929
1581568194.2749052,3011,0.0014949715696275234
1581568194.858339,3038,0.001496543874964118
1581568194.9197388,3041,0.0014973297948017716
1581568196.280231,3099,0.0014912202022969723
1581568198.039544,3161,0.0014799260534346104
1581568198.841259,3196,0.0014781239442527294
1581568199.78674,3230,0.0014758104225620627
1581568200.151283,3244,0.001475483295507729
1581568200.1936269,3246,0.0014754122821614146
1581568200.212975,3247,0.001475506229326129
1581568201.558999,3305,0.0014667320065200329
1581568205.666613,3480,0.0014607742195948958
1581568208.4645839,3600,0.0014529266627505422
1581568208.94096,3618,0.0014530823100358248
1581568208.9994922,3620,0.0014529096661135554
1581568210.712904,3670,0.0014481457183137536
1581568211.839919,3726,0.0014397026970982552
1581568212.139023,3741,0.0014392159646376967
1581568213.1723561,3793,0.0014337245374917984
1581568213.594962,3814,0.0014312096172943711
1581568213.7318149,3821,0.0014305412769317627
1581568215.8565462,3928,0.0014212023233994842
1581568216.428604,3956,0.0014202017337083817
1581568216.974968,3984,0.001425776514224708
1581568217.9922738,4036,0.0014219512231647968
